clock,value_min,value_avg,value_max
1591185600,7011480,25243467,105359240
1591189200,4089224,14820083,33156648
1591192800,4017024,18016267,51563904
1591196400,6746008,21546739,60178784
1591200000,9260416,19113571,32735648
1591203600,2822864,11319802,21543560
1591207200,5219792,13705546,44155792
1591210800,3641728,14147591,46841880
1591214400,1267008,9749137,100831472
1591218000,1233352,4708980,11618848
1591221600,1951688,11751452,34272304
1591225200,1317400,11882667,39097920
1591228800,1125304,4695104,12087672
1591232400,1162312,3127685,8546000
1591236000,593376,3695284,14053728
1591239600,443352,1412149,4861336
1591243200,426336,2568595,10227448
1591246800,398424,3469068,11905832
1591250400,592224,1967600,8975144
1591254000,400208,1470630,7178632
1591257600,193656,1483595,8609968
1591261200,254448,1854698,15139488
1591264800,441648,5448554,12450976
1591268400,2820784,8148905,18658616
1591272000,5655120,14858099,49878128
1591275600,5556096,19080760,40112328
1591279200,6091896,19239148,42646152
1591282800,7550344,17544675,50064008
1591286400,5669080,13998739,38946544
1591290000,4592488,13666480,49461544
1591293600,3499976,13127306,31905704
1591297200,2578984,5495621,15370072
1591300800,1380544,5170523,12524536
1591304400,881984,3053159,20687544
1591308000,1498760,4507519,33795768
1591311600,1361944,3753386,9497320
1591315200,1816272,4105714,7955832
1591318800,934608,3706902,11037272
1591322400,473752,1918670,4478592
1591326000,309208,1470521,7590904
1591329600,383784,3345226,18069072
1591333200,227376,704505,2252032
1591336800,232176,2306968,25839568
1591340400,213120,852942,9634056
1591344000,229184,1009972,7019560
1591347600,378376,2702115,19323272
1591351200,1110944,5623509,17066040
1591354800,3794584,9401821,24788320
1591358400,5140280,11376031,24138168
1591362000,6012584,16927713,67566912
1591365600,4911848,13880359,64310688
1591369200,6749864,12908229,29532728
1591372800,3012808,13014622,43512200
1591376400,4086232,9745650,39187408
1591380000,7324528,14847410,30010288
1591383600,3132216,7203768,18285624
1591387200,835880,4694528,13093864
1591390800,1004568,4649131,10554384
1591394400,615016,4389556,12808216
1591398000,739032,4912490,17861600
1591401600,617120,3050893,21105224
1591405200,1034104,5166253,10385296
1591408800,651736,2400313,8957104
1591412400,284112,3374809,34673648
1591416000,341296,2486571,26503384
1591419600,218880,1102242,18265728
1591423200,195424,879608,2450944
1591426800,192648,711947,11206232
1591430400,228200,968458,4246880
1591434000,219864,1223818,4321656
1591437600,386856,2190925,8560064
1591441200,1075200,3625923,18026192
1591444800,540776,2027352,11980632
1591448400,964040,5102173,26708208
1591452000,375856,3373850,26547280
1591455600,359392,4547377,36307936
1591459200,526304,2881395,6330360
1591462800,944896,5334719,16898216
1591466400,1718760,5249830,12950480
1591470000,1067184,2964353,6433648
1591473600,525040,3330070,22436824
1591477200,998496,2778071,5859088
1591480800,773488,3213075,7428496
1591484400,787272,3194402,13096080
1591488000,1007312,3060158,7643872
1591491600,2184664,4126487,7866360
1591495200,1423968,3253871,6377032
1591498800,296480,1434737,10119392
1591502400,395240,1222785,5446600
1591506000,313424,2029637,13059600
1591509600,714936,2878019,6740168
1591513200,231632,1121477,5281472
1591516800,188728,1008709,3732928
1591520400,490552,2629493,10473704
1591524000,322304,1371546,3901104
1591527600,923192,3171102,8686264
1591531200,658680,2293512,7580832
1591534800,906720,2751824,10694168
1591538400,410680,1772897,6374560
1591542000,645328,1952415,4183232
1591545600,744864,3235888,11235224
1591549200,549704,1668872,4184760
1591552800,964968,2103750,5599928
1591556400,1146312,3924436,8027376
1591560000,872240,3692924,11946120
1591563600,928760,5496445,25569008
1591567200,735096,3085828,11696424
1591570800,980088,3090803,15940832
1591574400,800432,2646409,10603968
1591578000,986128,4341218,34523752
1591581600,884192,1962291,6940080
1591585200,677192,1955914,11476888
1591588800,524240,2217004,10053232
1591592400,1094544,3933698,8847872
1591596000,1032440,1546552,5135896
1591599600,913488,1660561,3710520
1591603200,199456,1444519,11002728
1591606800,242456,2032661,12053160
1591610400,673848,5610397,20825344
1591614000,1351968,10727212,43933864
1591617600,4123672,21279720,57361424
1591621200,9139328,28816342,70908712
1591624800,6382016,16954421,52855088
1591628400,9722456,20115177,67057624
1591632000,5172200,14251540,52907368
1591635600,7545608,16189815,35718920
1591639200,5638600,14220246,35345464
1591642800,3271088,10266897,20554424
1591646400,1611704,5931845,17148256
1591650000,841392,3212182,8329096
1591653600,2485288,4705792,11654728
1591657200,864400,3247684,14550456
1591660800,1048712,2219419,11407808
1591664400,832096,2222084,5744536
1591668000,546752,4630970,14704464
1591671600,221048,1734712,9120976
1591675200,250632,1124335,4712776
1591678800,214816,482304,2413456
1591682400,244248,1198113,10300088
1591686000,227232,977970,7927280
1591689600,222112,1542405,11548448
1591693200,588912,2239046,11583200
1591696800,1680552,4607588,24393296
1591700400,2698568,8975652,33750144
1591704000,3975912,18375275,79639440
1591707600,5631648,12084817,35986672
1591711200,4004064,11337956,22584896
1591714800,6652088,14517147,52209024
1591718400,3047512,11212744,19814352
1591722000,4511720,9524571,20851424
1591725600,8845992,17185657,52763168
1591729200,4173560,12156877,38687688
1591732800,1204504,7802088,47608192
1591736400,1097952,14488896,148197808
1591740000,962720,4654470,15058232
1591743600,1120232,4184673,11211800
1591747200,787160,3434081,13748344
1591750800,759248,3432139,11913424
1591754400,1038520,3436730,8950176
1591758000,1161672,3229369,12898016
1591761600,322424,1650683,4966408
1591765200,292520,1489548,11895848
1591768800,361064,1376745,3123112
1591772400,558800,2680864,13071728
1591776000,271880,1139949,7739800
1591779600,326168,4596107,21268512
1591783200,425864,3525093,14686840
1591786800,2719616,8260264,28505568
1591790400,9491864,21155547,46958272
1591794000,5300784,13086599,37338840
1591797600,4522936,15289086,34523128
1591801200,8062456,18660042,42505376
1591804800,6701856,17963811,35467248
1591808400,10624440,24517513,41590376
1591812000,6319440,15969297,71040304
1591815600,3474776,11674939,68172040
1591819200,2304944,8162192,17363392
1591822800,1502480,5648962,59798272
1591826400,2235256,6444013,31825856
1591830000,2825960,5688716,24322848
1591833600,1585552,4046843,12090416
1591837200,1636840,3956699,8985632
1591840800,530144,3538014,16890712
1591844400,548888,2453712,19465816
1591848000,329760,1362162,4299808
1591851600,465168,1590747,6151328
1591855200,961880,1710915,4698072
1591858800,369000,1643310,14618248
1591862400,269616,1402439,3658720
1591866000,272088,2698833,9132232
1591869600,1565176,9317045,32934056
1591873200,1574760,7436511,23134568
1591876800,5051280,20399086,65235408
1591880400,8368608,18440453,61785952
1591884000,9407912,20457658,40737392
1591887600,7869576,19211219,44175880
1591891200,4968800,14064739,27779752
1591894800,7656472,14876870,29131808
1591898400,5247376,29973410,182497240
1591902000,4065408,9462022,36050320
1591905600,1588704,4881781,16221112
1591909200,757848,7376909,20235728
1591912800,2999664,9792625,22112600
1591916400,2319816,5305707,16363744
1591920000,1808352,4199028,15234504
1591923600,1249696,4144259,9904920
1591927200,793400,3871790,11620608
1591930800,1104168,4129380,14252640
1591934400,617584,3038728,8141872
1591938000,656216,2453243,11247832
1591941600,579504,2869042,9431120
1591945200,272200,1049354,6005688
1591948800,273136,1937264,7475592
1591952400,268608,2523305,9869888
1591956000,933680,4281531,17300824
1591959600,2456416,7803850,26197288
1591963200,2642184,10831743,29297456
1591966800,3753592,12544989,38661248
1591970400,5328416,18667559,183807632
1591974000,6437488,15340692,43277904
1591977600,4146064,11110983,25708544
1591981200,6321680,22954504,98373336
1591984800,4039984,27064298,182744584
1591988400,3516112,8761688,33970152
1591992000,2121032,6225631,24346296
1591995600,1033160,6356416,14648520
1591999200,709944,5315679,16775072
1592002800,644016,4934737,10953336
1592006400,2862456,6982042,16522392
1592010000,1585536,5966242,9828384
1592013600,413384,3097589,12908408
1592017200,943920,4015277,18029600
1592020800,786800,2914966,10399368
1592024400,261584,399653,826992
1592028000,253568,780979,2264984
1592031600,270552,6838761,102740736
1592035200,259256,623938,1811392
1592038800,285288,2252495,8081024
1592042400,395584,3499679,16142920
1592046000,658232,1945294,7728640
1592049600,825752,4051204,10107472
1592053200,1198968,4908101,13281824
1592056800,694056,3271563,12531368
1592060400,1034680,3959756,9753976
1592064000,2985264,13927009,24361072
1592067600,14722704,24426715,56101056
1592071200,971752,16168999,107484968
1592074800,847704,5881072,29112464
1592078400,769432,4387442,17416928
1592082000,1091848,4810860,10401392
1592085600,649600,4615272,19291176
1592089200,768920,11706611,69652024
1592092800,1036592,8660308,38832880
1592096400,1579760,6401660,21125472
1592100000,1394984,4615130,11152208
1592103600,398864,3428485,14652832
1592107200,715504,3229939,11208376
1592110800,233840,2370762,11066768
1592114400,232592,690563,4058040
1592118000,203112,2367865,14734224
1592121600,267504,1767871,11148456
1592125200,327264,1950660,6494128
1592128800,321152,2501937,5015416
1592132400,647288,2188126,5239720
1592136000,835984,2786262,10744744
1592139600,530392,3688958,8869848
1592143200,980896,3827973,9020576
1592146800,600160,4183756,9278008
1592150400,779048,3440311,7346952
1592154000,899424,4006702,14240208
1592157600,652672,4690718,10734968
1592161200,826264,4131140,11855088
1592164800,701568,3564913,9941408
1592168400,835864,3980299,24966144
1592172000,968080,9809604,80228736
