clock,value_min,value_avg,value_max
1560834000,201752,1218839,9871984
1560830400,208784,2599573,10856256
1560826800,1118056,9554006,25135608
1560823200,743952,3224260,8003896
1560819600,1504080,4060141,11236224
1560816000,1982944,10144371,28954632
1560812400,10427424,17685685,29259152
1560808800,12547120,22324912,47545016
1560805200,22527048,48521871,106172728
1560801600,52425184,120798913,237064480
1560798000,101287352,171853552,236401720
1560794400,141609432,185828402,239926944
1560790800,160085168,195698015,241836872
1560787200,169608240,212614959,245584848
1560783600,106427344,154607134,227857872
1560780000,124238728,180035581,238579336
1560776400,137945560,194461871,234345856
1560772800,106334560,166499875,206459176
1560769200,62146168,127784469,218392008
1560765600,7001136,36323508,119472120
1560762000,434912,7504299,35549688
1560758400,180600,2068402,15599280
1560754800,1230880,2616528,9645920
1560751200,535072,2860228,16706776
1560747600,364272,2090969,8483600
1560744000,611456,2788265,14363672
1560740400,1079184,2853730,8757496
1560736800,1636808,4060140,11079128
1560733200,1218000,3954698,7980912
1560729600,1378144,3941951,15052208
1560726000,1569736,4175022,9940296
1560722400,979960,5028025,15451760
1560718800,939752,4283365,24440344
1560715200,856616,2748805,7538296
1560711600,1387456,3413179,7706648
1560708000,2804880,5582153,12287408
1560704400,3079760,7032562,18969000
1560700800,2409680,7608014,19935088
1560697200,2203264,6451016,16058296
1560693600,2447440,7075871,24032136
1560690000,3116080,7084399,17234592
1560686400,1425088,7124535,17242824
1560682800,3484912,8365774,29481928
1560679200,4601888,23044088,47060768
1560675600,224800,5739672,19284000
1560672000,213088,1702493,11354824
1560668400,222752,948113,5624240
1560664800,248416,1370497,9715952
1560661200,249024,937389,1884592
1560657600,281952,1749366,3156736
1560654000,194024,2757564,21444888
1560650400,1601576,4572265,20209944
1560646800,1684952,9214183,45666512
1560643200,1182616,4753806,17495728
1560639600,3296200,6865957,18595024
1560636000,3250080,6166757,11922976
1560632400,1670016,5544358,24340104
1560628800,1576280,10292140,26504328
1560625200,4594560,11639161,24635552
1560621600,6037392,22026262,57507936
1560618000,14005448,23284947,42515784
1560614400,12704920,30092924,58858944
1560610800,8771208,25191679,44777072
1560607200,19606632,38929698,73842080
1560603600,22193016,38987010,65284856
1560600000,22316296,43806471,104093176
1560596400,11249176,29416828,58781640
1560592800,5068904,11970408,35146240
1560589200,341608,2226184,12929488
1560585600,162784,786170,6278944
1560582000,195928,1095900,2563712
1560578400,243552,1754938,12840464
1560574800,284616,1394142,4774664
1560571200,424368,2605578,23033376
1560567600,2734800,5364938,13612584
1560564000,2386168,7751420,62736656
1560560400,2218376,6244061,11189192
1560556800,2776512,10919437,37358152
1560553200,8022136,20792058,40844568
1560549600,12940496,27355247,48715520
1560546000,16298664,30147820,73535792
1560542400,15481592,34093731,58844984
1560538800,45867944,106908073,153973448
1560535200,107580144,150961365,196695944
1560531600,111669672,145898808,176188416
1560528000,110358768,151866077,221719120
1560524400,70625256,106059806,161244008
1560520800,80993832,120521737,161164120
1560517200,99319648,135717789,202614376
1560513600,98959568,135129125,210854672
1560510000,28208512,92138159,191296184
1560506400,6339920,18931631,55073096
1560502800,1058232,7137486,28820864
1560499200,134120,1491420,7456376
1560495600,151920,996811,8887720
1560492000,429792,1576202,13556968
1560488400,591080,1804061,9750144
1560484800,344064,2446993,10590688
1560481200,1512976,4478677,12988936
1560477600,557088,5082119,30244120
1560474000,1772120,4798925,12206304
1560470400,2201056,10182700,29798056
1560466800,6720824,19326868,33241392
1560463200,15236840,29445057,58192360
1560459600,17418320,34628184,87905680
1560456000,30368664,67836842,114156640
1560452400,67034440,135253645,173772168
1560448800,133121968,193131890,232014224
1560445200,158616560,216207400,245274344
1560441600,153326080,202635931,245341224
1560438000,97860776,143918533,212011608
1560434400,121224792,163899473,226135800
1560430800,124072640,160157574,193586504
1560427200,115372936,161433479,208121728
1560423600,34166256,104345571,243755776
1560420000,6295160,26876503,59954248
1560416400,579936,6585859,24694192
1560412800,258656,778182,11347944
1560409200,219272,1259356,4302176
1560405600,242016,2995442,24756232
1560402000,211704,1032998,11491208
1560398400,874632,3769871,12569472
1560394800,576728,5322366,17514728
1560391200,2469560,10844936,21216152
1560387600,5906832,14746538,33113096
1560384000,9328464,18220243,106308368
1560380400,10172608,21375151,47255408
1560376800,22056968,52318288,86446056
1560373200,18331928,57882918,133601456
1560369600,36043384,66599268,103136344
1560366000,90481112,164581447,222637616
1560362400,120595592,165426863,228790568
1560358800,147710928,195105690,245493088
1560355200,124873616,158001272,213199536
1560351600,98846032,150748568,211738016
1560348000,114952472,171949862,238017776
1560344400,105232144,161714754,218662920
1560340800,91193712,164096911,239932712
1560337200,50191424,134463556,239593096
1560333600,5488032,37193588,105101248
1560330000,677976,7142440,31665272
1560326400,292168,2084465,27462616
1560322800,425016,2924584,11061184
1560319200,205672,1913768,9107224
1560315600,654648,1842224,19162792
1560312000,390824,4525983,26337656
1560308400,1771448,3920876,13611024
1560304800,856984,4765173,12685816
1560301200,1800560,6183702,29008744
1560297600,3181864,8340509,14067856
1560294000,3579032,15991588,52613960
1560290400,19635584,39793377,94460880
1560286800,30737240,59695144,98669776
1560283200,47677888,90764337,163459800
1560279600,124651888,184590456,242605296
1560276000,137737056,183157715,241422000
1560272400,159878816,198965198,236275160
1560268800,114104560,164502583,218714560
1560265200,100503824,130573572,160209128
1560261600,119272576,163752080,205471560
1560258000,116165112,156463316,210574232
1560254400,111373376,162663512,243373864
1560250800,47060408,105187842,184552624
1560247200,9246752,33031950,80202640
1560243600,398280,12015057,40391944
1560240000,357808,2811194,15906264
1560236400,511128,2210396,6971680
1560232800,608128,1957537,8555376
1560229200,197552,2292604,8951544
1560225600,1637576,3689558,9848600
1560222000,1608856,3683513,7270592
1560218400,1071320,3243346,12558008
1560214800,1709952,5713861,22092272
1560211200,4402816,13947860,28043856
1560207600,13102800,30603181,65761632
1560204000,31225480,68974157,107855344
1560200400,31314264,64687873,165730272
1560196800,42714464,87851053,147703168
1560193200,91340192,156391683,209821744
1560189600,142477560,190112002,236799088
